ReleasableAccidents_Year,Death (1 = Yes),Injury (1 = Yes),NumberDeaths,NumberInjured,NumberVesselsInvolved,TotalDamage,Date,Time,State,WaterConditions,Wind,Day (1 = yes),Visibility,DayofWeek,AccidentCause,AccidentEvent,OperatorGender,OperatorAge,OperatorUsingAlcohol,VesselType,Length,Operation,Activity,Yearbuilt,NumberPeopleOnboard,DeceasedAge,DeceasedGender,CauseofDeath,DeceasedPFDWorn,DeceasedRole,InjuredGender,InjuredAge,InjuryType,InjuredRole
2017,0,0,0,0,2,8000,3/17/2017,12:00:00 PM,AL,Choppy,Moderate,1,Good,Friday,Operator inexperience,Collision with recreational vessel,M,35,1,Pontoon,26,Cruising,Boating/relaxation,1995,7,,,,,,,,,
2017,0,0,0,0,2,8000,3/17/2017,12:00:00 PM,AL,Choppy,Moderate,1,Good,Friday,Operator inexperience,Collision with recreational vessel,M,,0,Houseboat,50,Tied to dock/mooring,None; not in use,1974,0,,,,,,,,,
2017,1,0,1,0,1,0,3/20/2017,3:02:00 PM,AL,Calm,Light,1,Good,Monday,Sudden medical condition,Falls overboard,M,,0,Open motorboat,18,Other,Fishing,1988,2,68,M,Drowning,N,Occupant,,,,
2017,1,0,1,0,1,0,3/27/2017,12:08:00 AM,AL,Unknown,Unknown,0,Unknown,Monday,Force of wake/wave,Falls overboard,M,30,1,Open motorboat,14,Cruising,Boating/relaxation,1973,2,30,M,Drowning,N,Operator,,,,
2017,0,0,0,0,1,5000,4/5/2017,7:30:00 PM,AL,Rough,Strong,1,Fair,Wednesday,Weather,Collision with fixed object,M,74,0,Cabin motorboat,29,Cruising,Boating/relaxation,2008,2,,,,,,,,,
2017,1,0,1,0,1,0,4/16/2017,9:50:00 AM,AL,Calm,Light,1,Good,Sunday,Unknown,Falls overboard,M,64,0,Kayak,12,Unknown,Boating/relaxation,2017,1,64,M,Drowning,N,Operator,,,,
2017,0,0,0,0,1,3000,4/18/2017,12:09:00 PM,AL,Calm,Light,1,Good,Tuesday,Other,Collision with submerged object,M,48,0,Open motorboat,18,Cruising,Boating/relaxation,1988,4,,,,,,,,,
2017,0,0,0,0,2,2000,4/30/2017,11:25:00 AM,AL,Calm,Moderate,1,Good,Sunday,Machinery failure,Collision with recreational vessel,M,52,0,Open motorboat,20,Changing direction,Boating/relaxation,2008,1,,,,,,,,,
2017,0,0,0,0,2,2000,4/30/2017,11:25:00 AM,AL,Calm,Moderate,1,Good,Sunday,Machinery failure,Collision with recreational vessel,M,,0,Open motorboat,18,Tied to dock/mooring,None; not in use,2016,0,,,,,,,,,
2017,1,0,1,0,1,0,4/30/2017,3:00:00 PM,AL,Choppy,Moderate,1,Good,Sunday,Hazardous waters,Person ejected from vessel,M,71,0,Kayak,12,Rowing/paddling,Boating/relaxation,2015,1,71,M,Drowning,Y,Operator,,,,
2017,1,0,1,0,1,0,5/10/2017,9:33:00 PM,AL,Calm,Light,0,Good,Wednesday,Sudden medical condition,Falls overboard,M,68,0,Open motorboat,15,Unknown,Fishing,1982,1,68,M,Unknown,N,Operator,,,,
2017,0,1,0,1,1,35000,4/29/2017,9:30:00 PM,AL,Rough,Strong,0,Unknown,Saturday,Weather,Collision with fixed object,M,47,0,Open motorboat,25,Cruising,Boating/relaxation,2016,1,,,,,,M,47,Concussion,Operator
2017,0,0,0,0,2,5400,5/14/2017,5:00:00 PM,AL,Calm,Light,1,Good,Sunday,Excessive speed,Collision with recreational vessel,F,58,0,Personal watercraft,10,Changing speed,Boating/relaxation,2009,1,,,,,,,,,
2017,0,0,0,0,2,5400,5/14/2017,5:00:00 PM,AL,Calm,Light,1,Good,Sunday,Excessive speed,Collision with recreational vessel,M,,0,Open motorboat,23,Tied to dock/mooring,None; not in use,2017,0,,,,,,,,,
2017,1,0,2,0,1,0,5/28/2017,5:30:00 AM,AL,Rough,Light,1,Good,Sunday,Operator inexperience,Capsizing,M,34,1,Kayak,10,Rowing/paddling,Boating/relaxation,,3,34,M,Drowning,N,Operator,,,,
2017,1,0,2,0,1,0,5/28/2017,5:30:00 AM,AL,Rough,Light,1,Good,Sunday,Operator inexperience,Capsizing,M,34,1,Kayak,10,Rowing/paddling,Boating/relaxation,,3,3,M,Drowning,,Occupant,,,,
2017,0,1,0,2,2,4000,5/30/2017,6:50:00 PM,AL,Choppy,Moderate,1,Fair,Tuesday,Operator inexperience,Collision with recreational vessel,M,10,0,Personal watercraft,,Changing direction,Boating/relaxation,,1,,,,,,m,10,Cut,Operator
2017,0,1,0,2,2,4000,5/30/2017,6:50:00 PM,AL,Choppy,Moderate,1,Fair,Tuesday,Operator inexperience,Collision with recreational vessel,M,14,0,Personal watercraft,,Cruising,Boating/relaxation,,1,,,,,,M,14,Unknown,Operator
2017,0,1,0,1,2,2100,5/27/2017,4:15:00 PM,AL,Choppy,Light,1,Good,Saturday,Excessive speed,Collision with recreational vessel,M,42,0,Personal watercraft,18,Cruising,Boating/relaxation,2016,1,,,,,,,,,
2017,0,1,0,1,2,2100,5/27/2017,4:15:00 PM,AL,Choppy,Light,1,Good,Saturday,Excessive speed,Collision with recreational vessel,M,,0,Pontoon,,Unknown,Swimming/snorkeling,1996,0,,,,,,M,8,Broken bone,Swimmer
2017,1,0,1,0,1,0,5/31/2017,4:00:00 AM,AL,Calm,Light,0,Poor,Wednesday,Unknown,Falls overboard,M,31,0,Kayak,,Rowing/paddling,Boating/relaxation,,1,31,M,Drowning,,Operator,,,,
2017,1,1,2,1,2,4500,6/1/2017,6:45:00 PM,AL,Calm,Light,1,Good,Thursday,Operator inattention,Collision with recreational vessel,M,88,0,Open motorboat,,Unknown,Boating/relaxation,2003,1,88,m,Trauma,,Operator,,,,
2017,1,1,2,1,2,4500,6/1/2017,6:45:00 PM,AL,Calm,Light,1,Good,Thursday,Operator inattention,Collision with recreational vessel,M,58,0,Open motorboat,,Cruising,Boating/relaxation,1997,2,58,m,Drowning,,Operator,M,,Unknown,Occupant
2017,1,0,1,0,1,0,7/11/2017,4:30:00 PM,AL,Choppy,Light,1,Good,Tuesday,Drug use,Capsizing,M,31,0,Kayak,9,Rowing/paddling,Boating/relaxation,,1,31,M,Drowning,N,Operator,,,,
2017,0,1,0,2,2,20000,5/29/2017,12:40:00 AM,AL,Calm,Light,0,Poor,Monday,Navigation rules violation,Collision with recreational vessel,M,59,0,Pontoon,20,Drifting,Boating/relaxation,2007,4,,,,,,M,41,Sprain/strain,Occupant
2017,0,1,0,2,2,20000,5/29/2017,12:40:00 AM,AL,Calm,Light,0,Poor,Monday,Navigation rules violation,Collision with recreational vessel,M,55,0,Open motorboat,19,Cruising,Fishing,2003,2,,,,,,M,,Cut,Occupant
2017,1,0,1,0,1,4000,7/21/2017,8:10:00 PM,AL,Choppy,Moderate,0,Poor,Friday,Weather,Electrocution,M,45,0,Open motorboat,24,Cruising,Boating/relaxation,1997,5,34,M,Trauma,,Occupant,,,,
2017,0,1,0,1,2,26500,6/25/2017,7:20:00 PM,AL,Calm,Light,1,Good,Sunday,Alcohol use,Collision with recreational vessel,M,38,1,Open motorboat,15,Cruising,Boating/relaxation,1977,1,,,,,,M,38,Cut,Operator
2017,0,1,0,1,2,26500,6/25/2017,7:20:00 PM,AL,Calm,Light,1,Good,Sunday,Alcohol use,Collision with recreational vessel,M,41,0,Open motorboat,23,Cruising,Boating/relaxation,2004,8,,,,,,,,,
2017,0,1,0,1,1,0,7/14/2017,1:30:00 PM,AL,Calm,Light,1,Good,Friday,Improper lookout,Person struck by vessel,M,56,0,Open motorboat,17,Cruising,Fishing,2002,2,,,,,,M,56,Cut,Swimmer
2017,0,1,0,1,1,0,7/23/2017,2:40:00 PM,AL,Calm,Light,1,Good,Sunday,Machinery failure,Fire/explosion (fuel),M,52,0,Personal watercraft,10,Drifting,Making repairs,2002,1,,,,,,M,52,Burn,Operator
2017,0,1,0,1,1,0,7/2/2017,3:15:00 PM,AL,Calm,Light,1,Good,Sunday,Improper lookout,Person struck by propeller,M,47,0,Open motorboat,24,Changing speed,Towed watersports,2007,1,,,,,,F,12,Broken bone,Swimmer
2017,0,1,0,1,2,51500,6/30/2017,6:05:00 PM,AL,Calm,Light,1,Good,Friday,Excessive speed,Collision with commercial vessel,M,60,0,Open motorboat,20,Cruising,Fishing,2015,1,,,,,,m,60,Scrape/bruise,Operator
2017,0,1,0,1,2,51500,6/30/2017,6:05:00 PM,AL,Calm,Light,1,Good,Friday,Excessive speed,Collision with commercial vessel,M,24,0,Pontoon,24,Cruising,Commercial,1994,1,,,,,,,,,
2017,0,0,0,0,1,30000,7/21/2017,10:15:00 AM,AL,Very Rough,Storm,1,Poor,Friday,Weather,Fire/explosion (non-fuel),M,64,0,Auxiliary sail,39,Cruising,Boating/relaxation,1996,1,,,,,,,,,
2017,0,1,0,1,2,5500,7/22/2017,12:45:00 PM,AL,Calm,Light,1,Good,Saturday,Operator inattention,Collision with recreational vessel,M,38,0,Personal watercraft,10,Cruising,Boating/relaxation,2014,1,,,,,,M,38,Broken bone,Operator
2017,0,1,0,1,2,5500,7/22/2017,12:45:00 PM,AL,Calm,Light,1,Good,Saturday,Operator inattention,Collision with recreational vessel,M,23,0,Personal watercraft,10,Cruising,Boating/relaxation,2014,1,,,,,,,,,
2017,0,0,0,0,1,15000,7/23/2017,4:18:00 PM,AL,Rough,Strong,1,Good,Sunday,Operator inexperience,Grounding,M,45,0,Open motorboat,18,Cruising,Boating/relaxation,2007,4,,,,,,,,,
2017,0,0,0,0,1,113200,7/24/2017,5:30:00 PM,AL,Calm,Light,1,Good,Monday,Improper lookout,Collision with fixed object,M,24,0,Open motorboat,22,Cruising,Boating/relaxation,2014,2,,,,,,,,,
2017,1,0,1,0,1,0,7/10/2017,3:30:00 PM,AL,Calm,Light,1,Good,Monday,Sharp turn,Falls overboard,M,63,0,Open motorboat,15,Changing direction,Boating/relaxation,1982,,63,M,Trauma,N,Operator,,,,
2017,0,0,0,0,2,2200,5/19/2017,10:20:00 PM,AL,Choppy,Light,0,Fair,Friday,Improper lookout,Collision with recreational vessel,M,48,0,Pontoon,24,Cruising,Boating/relaxation,2003,8,,,,,,,,,
2017,0,0,0,0,2,2200,5/19/2017,10:20:00 PM,AL,Choppy,Light,0,Fair,Friday,Improper lookout,Collision with recreational vessel,M,36,0,Pontoon,25,Cruising,Boating/relaxation,2004,4,,,,,,,,,
2017,0,1,0,1,3,11500,6/16/2017,8:56:00 PM,AL,Calm,Light,0,Good,Friday,Alcohol use,Collision with recreational vessel,M,51,0,Pontoon,22,Towing,Towing,2002,3,,,,,,M,53,Broken bone,Occupant
2017,0,1,0,1,3,11500,6/16/2017,8:56:00 PM,AL,Calm,Light,0,Good,Friday,Alcohol use,Collision with recreational vessel,M,49,0,Cabin motorboat,22,Cruising,Boating/relaxation,1998,3,,,,,,,,,
2017,0,1,0,1,3,11500,6/16/2017,8:56:00 PM,AL,Calm,Light,0,Good,Friday,Alcohol use,Collision with recreational vessel,M,61,0,Pontoon,27,Being towed,Towing,1997,5,,,,,,,,,
2017,0,1,0,2,1,40000,6/17/2017,10:16:00 PM,AL,Calm,Light,0,Good,Saturday,Alcohol use,Collision with fixed object,M,,0,Open motorboat,23,Cruising,Boating/relaxation,2008,2,,,,,,M,43,Internal organ injury,Unknown
2017,0,1,0,2,1,40000,6/17/2017,10:16:00 PM,AL,Calm,Light,0,Good,Saturday,Alcohol use,Collision with fixed object,M,,0,Open motorboat,23,Cruising,Boating/relaxation,2008,2,,,,,,F,33,Concussion,Unknown
2017,1,0,1,0,1,0,7/1/2017,1:28:00 PM,AL,Unknown,Unknown,1,Good,Saturday,Navigation rules violation,Collision with fixed object,M,28,0,Kayak,10,Rowing/paddling,Boating/relaxation,,1,28,M,Drowning,Y,Operator,,,,
2017,0,1,0,1,1,0,8/5/2017,1:37:00 PM,AL,Rough,Light,1,Good,Saturday,Force of wake/wave,Fall in vessel,M,57,0,Open motorboat,19,Cruising,Boating/relaxation,2006,2,,,,,,F,58,Dislocation,Occupant
2017,0,0,0,0,1,4500,8/6/2017,6:12:00 PM,AL,Choppy,Light,1,Good,Sunday,Operator inattention,Grounding,M,41,0,Open motorboat,23,Cruising,Boating/relaxation,2009,1,,,,,,,,,
2017,0,0,0,0,1,10000,8/12/2017,4:00:00 PM,AL,Choppy,Light,1,Good,Saturday,Improper lookout,Capsizing,M,55,0,Open motorboat,17,Drifting,Fishing,2000,2,,,,,,,,,
2017,0,1,0,1,1,75000,7/6/2017,8:00:00 PM,AL,Calm,Light,1,Fair,Thursday,Alcohol use,Collision with fixed object,F,54,1,Open motorboat,35,Cruising,Boating/relaxation,2008,2,,,,,,F,54,Scrape/bruise,Operator
2017,0,0,0,0,2,3000,7/1/2017,6:45:00 PM,AL,Calm,Light,1,Good,Saturday,Congested waters,Collision with recreational vessel,M,,0,Open motorboat,20,At anchor,Boating/relaxation,2002,4,,,,,,,,,
2017,0,0,0,0,2,3000,7/1/2017,6:45:00 PM,AL,Calm,Light,1,Good,Saturday,Congested waters,Collision with recreational vessel,M,69,0,Pontoon,22,Drifting,Boating/relaxation,2012,5,,,,,,,,,
2017,0,1,0,1,1,0,7/14/2017,5:15:00 PM,AL,Calm,Light,1,Good,Friday,Operator inattention,Skier mishap,M,61,0,Open motorboat,18,Changing direction,Towed watersports,2013,2,,,,,,M,15,Scrape/bruise,Tuber
2017,0,0,0,0,1,7000,7/9/2017,1:30:00 PM,AL,Choppy,Light,1,Good,Sunday,Force of wake/wave,Flooding/swamping,M,66,0,Pontoon,14,Cruising,Boating/relaxation,2017,4,,,,,,,,,
2017,0,0,0,0,1,2600,7/15/2017,1:15:00 PM,AL,Calm,Light,1,Good,Saturday,Unknown,Fire/explosion (fuel),M,63,0,Auxiliary sail,30,At anchor,Boating/relaxation,1977,2,,,,,,,,,
2017,1,0,1,0,1,0,8/12/2017,9:50:00 PM,AL,Calm,Light,0,Good,Saturday,Alcohol use,Person departed vessel,M,,0,Pontoon,18,Drifting,Swimming/snorkeling,2006,6,41,M,Drowning,N,Occupant,,,,
2017,0,0,0,0,1,8000,9/3/2017,7:15:00 PM,AL,Choppy,Light,1,Good,Sunday,Missing/inadequate aids to navigation,Grounding,M,32,0,Open motorboat,20,Idling,Fishing,2017,2,,,,,,,,,
2017,0,0,0,0,1,3000,9/3/2017,1:10:00 PM,AL,Rough,Moderate,1,Good,Sunday,Navigation rules violation,Capsizing,M,15,0,Pontoon,11,Cruising,Boating/relaxation,2017,1,,,,,,,,,
2017,0,0,0,0,1,5000,9/4/2017,5:30:00 AM,AL,Calm,Light,0,Fair,Monday,Improper lookout,Grounding,M,55,0,Open motorboat,20,Cruising,Fishing,2017,1,,,,,,,,,
2017,0,1,0,1,2,0,8/2/2017,12:20:00 PM,AL,Choppy,Moderate,1,Good,Wednesday,Navigation rules violation,Collision with recreational vessel,F,20,0,Personal watercraft,11,Drifting,Boating/relaxation,2017,2,,,,,,F,20,Internal organ injury,Operator
2017,0,1,0,1,2,0,8/2/2017,12:20:00 PM,AL,Choppy,Moderate,1,Good,Wednesday,Navigation rules violation,Collision with recreational vessel,F,40,0,Personal watercraft,11,Changing direction,Boating/relaxation,2017,2,,,,,,,,,
2017,0,1,0,1,2,2000,9/3/2017,12:30:00 PM,AL,Calm,Light,1,Good,Sunday,Operator inexperience,Collision with recreational Vessel,F,30,0,Personal watercraft,11,Changing speed,Boating/relaxation,2016,3,,,,,,F,30,Broken bone,Operator
2017,0,1,0,1,2,2000,9/3/2017,12:30:00 PM,AL,Calm,Light,1,Good,Sunday,Operator inexperience,Collision with recreational Vessel,F,30,0,Personal watercraft,11,Changing speed,Boating/relaxation,2016,3,,,,,,,,,
2017,0,0,0,0,1,3000,9/15/2017,5:30:00 PM,AL,Calm,Light,1,Good,Friday,Machinery failure,Fire/explosion (fuel),M,54,0,Open motorboat,23,Cruising,Boating/relaxation,2000,4,,,,,,,,,
2017,0,1,0,2,2,20000,10/13/2017,12:45:00 PM,AL,Calm,Light,1,Good,Friday,Improper lookout,Collision with recreational Vessel,M,74,0,Open motorboat,16,Changing speed,Boating/relaxation,2003,1,,,,,,m,74,Cut,Operator
2017,0,1,0,2,2,20000,10/13/2017,12:45:00 PM,AL,Calm,Light,1,Good,Friday,Improper lookout,Collision with recreational Vessel,M,88,0,Open motorboat,17,Drifting,Boating/relaxation,2000,1,,,,,,m,88,Broken bone,Operator
2017,1,1,1,2,1,250000,9/18/2017,7:08:00 PM,AL,Calm,Light,0,Fair,Monday,Alcohol use,Grounding,M,57,1,Open motorboat,28,Cruising,Boating/relaxation,2015,3,56,M,Trauma,,Occupant,m,57,Unknown,Operator
2017,1,1,1,2,1,250000,9/18/2017,7:08:00 PM,AL,Calm,Light,0,Fair,Monday,Alcohol use,Grounding,M,57,1,Open motorboat,28,Cruising,Boating/relaxation,2015,3,56,M,Trauma,,Occupant,f,57,Sprain/strain,Occupant
2017,0,1,0,1,2,7000,9/10/2017,4:15:00 PM,AL,Choppy,Light,1,Good,Sunday,Operator inattention,Collision with fixed object,M,88,0,Open motorboat,19,Cruising,Boating/relaxation,2003,1,,,,,,m,88,Cut,Operator
2017,0,1,0,1,2,7000,9/10/2017,4:15:00 PM,AL,Choppy,Light,1,Good,Sunday,Operator inattention,Collision with fixed object,M,,0,Pontoon,20,Tied to dock/mooring,None; not in use,2016,0,,,,,,,,,
2017,0,0,0,0,1,3000,6/17/2017,9:30:00 AM,AL,Calm,Light,1,Good,Saturday,Operator inattention,Flooding/swamping,M,45,0,Open motorboat,16,Launching/loading,Fishing,1982,1,,,,,,,,,
2017,0,0,0,0,2,31000,10/15/2017,12:00:00 PM,AL,Calm,Moderate,1,Good,Sunday,Improper lookout,Collision with recreational vessel,M,,0,Cabin motorboat,50,Tied to dock/mooring,None; not in use,1999,0,,,,,,,,,
2017,0,0,0,0,2,31000,10/15/2017,12:00:00 PM,AL,Calm,Moderate,1,Good,Sunday,Improper lookout,Collision with recreational vessel,M,60,0,Houseboat,44,Docking/undocking,Boating/relaxation,2001,2,,,,,,,,,
2017,1,0,1,0,1,0,10/18/2017,12:45:00 PM,AL,Calm,Light,1,Good,Wednesday,Sudden medical condition,Falls overboard,M,64,0,Open motorboat,18,Launching/loading,Fishing,1987,1,64,M,Cardiac arrest,N,Operator,,,,
2017,0,0,0,0,1,60000,10/28/2017,4:00:00 AM,AL,Rough,Strong,0,Poor,Saturday,Restricted vision,Grounding,M,34,0,Cabin motorboat,51,Cruising,Fishing,1978,4,,,,,,,,,
2017,0,0,0,0,2,31000,7/1/2017,9:55:00 PM,AL,Calm,Light,0,Good,Saturday,Alcohol use,Collision with fixed object,M,34,1,Open motorboat,21,Cruising,Boating/relaxation,1999,1,,,,,,,,,
2017,0,0,0,0,2,31000,7/1/2017,9:55:00 PM,AL,Calm,Light,0,Good,Saturday,Alcohol use,Collision with fixed object,M,,0,Open motorboat,27,Tied to dock/mooring,None; not in use,2014,0,,,,,,,,,
2017,0,1,0,1,1,0,7/23/2017,1:50:00 PM,AL,Choppy,Light,1,Good,Sunday,Other,Skier mishap,M,46,0,Open motorboat,18,Changing speed,Towed watersports,1986,4,,,,,,m,14,Cut,Tuber
2017,0,0,0,0,1,10000,5/28/2017,2:30:00 PM,AL,Calm,Moderate,1,Good,Sunday,Machinery failure,Fire/explosion (fuel),M,66,0,Open motorboat,20,Changing speed,Boating/relaxation,2004,7,,,,,,,,,
2017,0,0,0,0,1,2000,8/10/2017,8:47:00 PM,AL,Choppy,Light,0,Fair,Thursday,Excessive speed,Collision with floating object,M,41,0,Open motorboat,20,Cruising,Fishing,2016,3,,,,,,,,,
2017,0,0,0,0,3,1000,4/1/2017,5:00:00 PM,AL,Calm,Light,1,Good,Saturday,Congested waters,Flooding/swamping,M,54,0,Open motorboat,15,Cruising,Fishing,1969,5,,,,,,,,,
2017,0,0,0,0,3,1000,4/1/2017,5:00:00 PM,AL,Calm,Light,1,Good,Saturday,Congested waters,Flooding/swamping,M,,0,Unknown,,Cruising,Boating/relaxation,,,,,,,,,,,
2017,0,0,0,0,3,1000,4/1/2017,5:00:00 PM,AL,Calm,Light,1,Good,Saturday,Congested waters,Flooding/swamping,M,,0,Unknown,,Cruising,Boating/relaxation,,,,,,,,,,,
2017,0,1,0,1,1,3000,8/13/2017,3:40:00 PM,AL,Calm,Light,1,Good,Sunday,Sudden medical condition,Grounding,M,57,0,Pontoon,22,Cruising,Boating/relaxation,2008,1,,,,,,m,57,Cut,Operator
2017,0,1,0,3,1,5000,6/10/2017,10:45:00 PM,AL,Calm,None,0,Good,Saturday,Alcohol use,Collision with floating object,M,49,1,Open motorboat,26,Cruising,Boating/relaxation,2004,3,,,,,,m,49,Cut,Operator
2017,0,1,0,3,1,5000,6/10/2017,10:45:00 PM,AL,Calm,None,0,Good,Saturday,Alcohol use,Collision with floating object,M,49,1,Open motorboat,26,Cruising,Boating/relaxation,2004,3,,,,,,f,16,Scrape/bruise,Occupant
2017,0,1,0,3,1,5000,6/10/2017,10:45:00 PM,AL,Calm,None,0,Good,Saturday,Alcohol use,Collision with floating object,M,49,1,Open motorboat,26,Cruising,Boating/relaxation,2004,3,,,,,,f,15,Cut,Occupant
2017,1,0,2,0,2,0,6/14/2017,1:41:00 PM,AL,rough,Unknown,1,Unknown,Wednesday,Force of wake/wave,Capsizing,M,,0,Rowboat,14,Being towed,Towing,,0,,,,,,,,,
2017,1,0,2,0,2,0,6/14/2017,1:41:00 PM,AL,rough,Unknown,1,Unknown,Wednesday,Force of wake/wave,Capsizing,M,,0,Open motorboat,,towing,Towing,,3,52,M,Unknown,N,Occupant,,,,
